-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!          O3COL!           JO1D!           JNO2!           HCHO!            XOH!           XHO2!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H2!           C3H6!           C2H4!            CH4!
     2.5050e+02!     5.5300e+01!    -7.7730e+01!     5.8531e+01!     9.0650e-04!     9.5300e+02!     2.9783e-08!     3.9920e-12!     3.4430e-11!     1.6791e-07!     1.0000e+00!     4.4850e+02!     2.6078e-07!     1.3342e-03!     6.2919e-10!     4.5514e-01!     3.2616e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5083e+02!     5.5300e+01!    -7.7730e+01!     5.8552e+01!     9.0144e-04!     9.5300e+02!     2.9734e-08!     5.7394e-12!     3.4061e-11!     1.6810e-07!     1.0000e+00!     4.4850e+02!     5.3274e-07!     2.8879e-03!     6.7554e-10!     4.7202e-01!     4.5603e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5073e+02!     5.5300e+01!    -7.7730e+01!     5.8573e+01!     8.5642e-04!     9.5300e+02!     2.9915e-08!     4.9958e-12!     2.5697e-11!     1.6717e-07!     1.0000e+00!     4.4850e+02!     1.0238e-06!     4.6871e-03!     6.5836e-10!     4.2741e-01!     5.9102e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5071e+02!     5.5300e+01!    -7.7730e+01!     5.8594e+01!     8.2466e-04!     9.5300e+02!     3.0039e-08!     5.3109e-12!     1.9670e-11!     1.6848e-07!     1.0000e+00!     4.4850e+02!     1.8238e-06!     7.1324e-03!     6.4288e-10!     6.3579e-01!     6.5898e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5155e+02!     5.5300e+01!    -7.7730e+01!     5.8615e+01!     8.7190e-04!     9.5300e+02!     3.0396e-08!     5.7786e-12!     1.5729e-11!     1.6916e-07!     1.0000e+00!     4.4850e+02!     2.6984e-06!     8.9036e-03!     5.6116e-10!     7.5303e-01!     7.5430e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5193e+02!     5.5300e+01!    -7.7730e+01!     5.8635e+01!     8.9382e-04!     9.5300e+02!     3.0733e-08!     7.0839e-12!     2.2236e-11!     1.6937e-07!     1.0000e+00!     4.4850e+02!     3.7095e-06!     1.0157e-02!     4.7131e-10!     4.7255e-01!     9.3798e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5242e+02!     5.5300e+01!    -7.7730e+01!     5.8656e+01!     9.2108e-04!     9.5300e+02!     3.1258e-08!     7.3122e-12!     2.9058e-11!     1.6831e-07!     1.0000e+00!     4.4850e+02!     4.6059e-06!     1.0843e-02!     4.5509e-10!     8.1125e-01!     1.1378e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5255e+02!     5.5300e+01!    -7.7730e+01!     5.8677e+01!     9.2737e-04!     9.5300e+02!     3.1104e-08!     1.1577e-11!     2.3246e-11!     1.7099e-07!     1.0000e+00!     4.4850e+02!     5.5998e-06!     1.2121e-02!     6.1145e-10!     1.1595e+00!     1.2839e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5295e+02!     5.5300e+01!    -7.7730e+01!     5.8698e+01!     9.5383e-04!     9.5300e+02!     3.1364e-08!     7.3426e-12!     1.8180e-11!     1.6766e-07!     1.0000e+00!     4.4850e+02!     6.3145e-06!     1.2823e-02!     4.3400e-10!     1.0664e+00!     1.2363e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5356e+02!     5.5300e+01!    -7.7730e+01!     5.8719e+01!     9.9205e-04!     9.5300e+02!     3.1367e-08!     9.8660e-12!     2.7247e-11!     1.6683e-07!     1.0000e+00!     4.4850e+02!     6.6662e-06!     1.3340e-02!     4.9416e-10!     6.1339e-01!     1.3857e+00!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
