-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!           JO1D!            XOH!           C5H8!           C2H6!           C3H8!         IC4H10!         NC4H10!         IC5H12!         NC5H12!           C2H4!           C3H6!           C2H2!        APINENE!         ALBEDO!           XRO2!       CAMPHENE!          GTERP!       LIMONENE!         CARENE!          XMACR!           XMVK!      XLANCISOP!  XLANCMONOTERP!          XREAC!       XREACUNC!         XOHDEV!       Xreacvar!          SAREA!          XLISA!         XMAGIC!          XHCHO!   XMACR_stddev!    XMVK_stddev!
     2.9526e+02!     4.9700e+00!     1.1783e+02!     1.1241e+02!     2.1368e-02!     1.0130e+03!     1.2515e-08!     2.7572e-11!     1.5707e-10!     1.2437e-07!     1.0000e+00!     3.6021e-08!     2.3180e+05!     1.0499e-09!     7.2940e-10!     1.6281e-10!     1.4515e-10!     5.4712e-11!     3.8161e-11!     2.1829e-11!     8.3789e-11!     2.4550e-11!     2.0581e-10!     3.1362e-11!     1.0000e-01!     1.5910e-11!     3.8428e-11!     1.2596e-10!     1.4363e-10!     2.8100e-12!     8.0208e-11!     2.1145e-10!     1.4835e-09!     2.2323e-10!     1.5636e+01!     1.8460e+00!     1.9467e+05!     8.2526e+00!     6.7983e-05!     7.4000e-10!     2.0000e-08!     2.0310e-09!     1.1834e-11!     6.5340e-11!
     2.9503e+02!     4.9700e+00!     1.1783e+02!     1.1243e+02!     2.1353e-02!     1.0130e+03!     1.3326e-08!     1.9736e-11!     1.6803e-10!     1.2500e-07!     1.0000e+00!     0.0000e+00!     1.3329e+05!     1.5554e-09!     7.5902e-10!     1.2850e-10!     4.0782e-11!     5.2417e-11!     3.8444e-11!     2.6453e-11!     1.2694e-10!     4.8350e-11!     2.6705e-10!     2.8297e-11!     1.0000e-01!     1.5716e-11!     3.4985e-11!     1.0953e-10!     1.2068e-10!     3.6510e-12!     0.0000e+00!     0.0000e+00!     1.2968e-09!     2.0232e-10!     1.2174e+01!     1.6007e+00!     1.4259e+05!     5.8573e+00!     7.3560e-05!     7.4000e-10!     2.0000e-08!     2.4148e-09!     0.0000e+00!     0.0000e+00!
     2.9487e+02!     4.9700e+00!     1.1783e+02!     1.1245e+02!     2.1270e-02!     1.0130e+03!     1.2846e-08!     2.1997e-11!     1.4773e-10!     1.2446e-07!     1.0000e+00!     0.0000e+00!     2.9344e+05!     6.4639e-10!     6.9115e-10!     1.5899e-10!     1.3731e-10!     4.8937e-11!     3.7941e-11!     2.2772e-11!     8.5399e-11!     2.2180e-11!     2.0055e-10!     2.5232e-11!     1.0000e-01!     1.4831e-11!     3.1542e-11!     9.3102e-11!     9.7734e-11!     4.4920e-12!     5.3738e-11!     2.2064e-10!     1.2453e-09!     2.0200e-10!     1.1405e+01!     1.5592e+00!     2.7612e+05!     3.8146e+00!     7.7839e-05!     7.4000e-10!     2.0000e-08!     1.1098e-09!     1.8623e-11!     1.0010e-10!
     2.9470e+02!     4.9700e+00!     1.1783e+02!     1.1247e+02!     2.1288e-02!     1.0130e+03!     1.2118e-08!     2.3795e-11!     1.7197e-10!     1.2473e-07!     1.0000e+00!     0.0000e+00!     2.8279e+05!     1.1377e-09!     7.2534e-10!     1.2769e-10!     3.7379e-11!     5.9546e-11!     4.7292e-11!     2.7804e-11!     1.1871e-10!     4.3990e-11!     2.5938e-10!     1.9403e-11!     1.0000e-01!     1.3128e-11!     2.1128e-11!     9.1268e-11!     7.4127e-11!     3.5143e-12!     0.0000e+00!     0.0000e+00!     1.2521e-09!     1.7143e-10!     8.7343e+00!     1.3597e+00!     2.8210e+05!     3.5989e+00!     6.4994e-05!     7.4000e-10!     2.0000e-08!     1.2156e-09!     0.0000e+00!     0.0000e+00!
     2.9469e+02!     4.9700e+00!     1.1783e+02!     1.1249e+02!     2.1353e-02!     1.0130e+03!     1.2097e-08!     2.3296e-11!     1.9181e-10!     1.2925e-07!     1.0000e+00!     0.0000e+00!     3.9099e+05!     1.0971e-09!     7.7304e-10!     1.9858e-10!     1.9723e-10!     5.7391e-11!     3.6824e-11!     2.8062e-11!     1.5823e-10!     9.8000e-11!     2.3306e-10!     1.3573e-11!     1.0000e-01!     1.1547e-11!     1.0713e-11!     8.9433e-11!     5.0520e-11!     2.5367e-12!     0.0000e+00!     1.9204e-10!     1.2785e-09!     1.8769e-10!     9.6360e+00!     1.2967e+00!     3.3526e+05!     3.3666e+00!     7.1869e-05!     7.4000e-10!     2.0000e-08!     1.2443e-09!     0.0000e+00!     6.9282e-14!
     2.9469e+02!     4.9700e+00!     1.1783e+02!     1.1251e+02!     2.1256e-02!     1.0130e+03!     1.2380e-08!     2.1201e-11!     1.8318e-10!     1.2666e-07!     1.0000e+00!     0.0000e+00!     3.1665e+05!     1.0172e-09!     6.9809e-10!     1.1880e-10!     4.0597e-11!     4.8785e-11!     4.5893e-11!     2.7912e-11!     1.0167e-10!     2.4430e-11!     2.2101e-10!     3.2727e-11!     1.0000e-01!     1.4887e-11!     6.3200e-11!     5.7173e-11!     1.4617e-10!     2.8900e-12!     9.4423e-11!     1.4033e-10!     1.1809e-09!     1.7862e-10!     1.1633e+01!     1.5214e+00!     3.7159e+05!     2.7465e+00!     8.6487e-05!     7.4000e-10!     2.0000e-08!     1.4403e-09!     1.0571e-11!     4.4854e-11!
     2.9463e+02!     4.9700e+00!     1.1783e+02!     1.1253e+02!     2.1174e-02!     1.0130e+03!     1.2109e-08!     2.1410e-11!     2.0963e-10!     1.2708e-07!     1.0000e+00!     0.0000e+00!     4.2192e+05!     7.5863e-10!     7.4331e-10!     1.6208e-10!     1.1286e-10!     5.2679e-11!     4.5437e-11!     2.6383e-11!     1.3808e-10!     2.3970e-11!     2.4120e-10!     1.8040e-11!     1.0000e-01!     1.2529e-11!     2.6392e-11!     7.3016e-11!     7.9930e-11!     3.0500e-12!     1.0849e-10!     2.0901e-10!     1.1287e-09!     2.1867e-10!     1.2963e+01!     1.4978e+00!     5.1628e+05!     2.5109e+00!     9.2865e-05!     7.4000e-10!     2.0000e-08!     1.8247e-09!     7.9599e-11!     5.3405e-12!
     2.9466e+02!     4.9700e+00!     1.1783e+02!     1.1255e+02!     2.1173e-02!     1.0130e+03!     1.1114e-08!     2.2501e-11!     2.0314e-10!     1.3082e-07!     1.0000e+00!     0.0000e+00!     4.2751e+05!     9.1792e-10!     7.3447e-10!     1.1493e-10!     1.9521e-11!     5.3888e-11!     6.2115e-11!     2.4941e-11!     1.1152e-10!     4.5630e-11!     2.7722e-10!     1.8658e-11!     1.0000e-01!     1.2521e-11!     2.5998e-11!     7.0957e-11!     7.4669e-11!     2.8620e-12!     0.0000e+00!     0.0000e+00!     1.1074e-09!     2.0459e-10!     1.1102e+01!     1.4165e+00!     7.0281e+05!     4.8995e+00!     1.0975e-04!     7.4000e-10!     2.0000e-08!     1.3754e-09!     0.0000e+00!     0.0000e+00!
     2.9447e+02!     4.9700e+00!     1.1783e+02!     1.1257e+02!     2.1010e-02!     1.0130e+03!     1.0723e-08!     2.5563e-11!     2.2793e-10!     1.3151e-07!     1.0000e+00!     0.0000e+00!     3.4725e+05!     6.6493e-10!     7.2738e-10!     1.4682e-10!     9.5448e-11!     4.6865e-11!     4.1752e-11!     2.3456e-11!     1.4019e-10!     3.1970e-11!     2.5279e-10!     1.9276e-11!     1.0000e-01!     1.3382e-11!     2.5604e-11!     6.8898e-11!     6.9408e-11!     2.6740e-12!     4.7192e-11!     3.8770e-10!     1.1820e-09!     1.6821e-10!     1.1932e+01!     1.5380e+00!     2.8613e+05!     3.0202e+00!     9.3884e-05!     7.4000e-10!     2.0000e-08!     1.1679e-09!     9.6090e-12!     1.7122e-10!
     2.9430e+02!     4.9700e+00!     1.1783e+02!     1.1259e+02!     2.0894e-02!     1.0130e+03!     1.0092e-08!     2.3052e-11!     2.6559e-10!     1.3101e-07!     1.0000e+00!     0.0000e+00!     3.1771e+05!     9.6974e-10!     6.8386e-10!     1.0962e-10!     2.1322e-11!     5.0799e-11!     4.7030e-11!     2.8574e-11!     1.6701e-10!     6.2770e-11!     2.8714e-10!     1.5161e-11!     1.0000e-01!     1.2665e-11!     1.8750e-11!     7.1067e-11!     6.1259e-11!     2.5187e-12!     0.0000e+00!     0.0000e+00!     1.1253e-09!     1.3364e-10!     1.2744e+01!     1.5193e+00!     2.6129e+05!     2.5582e+00!     9.2812e-05!     7.4000e-10!     2.0000e-08!     1.0611e-09!     0.0000e+00!     0.0000e+00!
