-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!           JO1D!            XOH!           C5H8!           C2H6!           C3H8!           C2H4!         ALBEDO!          SAREA!          XREAC!          MAGIC!
     2.9556e+02!     4.9700e+00!     1.1783e+02!     1.0940e+02!     2.1878e+00!     1.0130e+03!     2.0566e-08!     2.1312e-11!     2.1312e-11!     1.3939e-07!     1.0000e+00!     2.4877e-07!     4.0314e+05!     1.0676e-09!     5.8360e-10!     8.2010e-11!     7.0600e-11!     1.0000e-01!     7.3000e-05!    -3.9664e+01!     2.0000e+10!
     2.9587e+02!     4.9700e+00!     1.1783e+02!     1.1328e+02!     2.0754e+00!     1.0130e+03!     4.0665e-09!     4.6466e-11!     4.6466e-11!     1.2206e-07!     1.0000e+00!     7.5789e-06!     5.8189e+05!     1.1820e-09!     4.8312e-10!     2.2140e-11!     6.9150e-11!     1.0000e-01!     7.3000e-05!    -2.4067e+01!     2.0000e+10!
     2.9581e+02!     4.9700e+00!     1.1783e+02!     1.1329e+02!     2.0047e+00!     1.0130e+03!     4.5296e-09!     8.4189e-11!     8.4189e-11!     1.1980e-07!     1.0000e+00!     6.6540e-06!     7.3465e+05!     1.1820e-09!     4.8312e-10!     2.2140e-11!     6.9150e-11!     1.0000e-01!     7.3000e-05!    -2.0556e+01!     2.0000e+10!
     2.9580e+02!     4.9700e+00!     1.1783e+02!     1.1333e+02!     2.0486e+00!     1.0130e+03!     4.0680e-09!     1.7127e-10!     1.7127e-10!     1.2500e-07!     1.0000e+00!     4.5444e-06!     9.8265e+05!     1.1557e-09!     4.5257e-10!     1.6440e-11!     7.0760e-11!     1.0000e-01!     7.3000e-05!    -2.2110e+01!     2.0000e+10!
     2.9569e+02!     4.9700e+00!     1.1783e+02!     1.1333e+02!     2.0326e+00!     1.0130e+03!     4.7033e-09!     7.2090e-11!     7.2090e-11!     1.2197e-07!     1.0000e+00!     4.0266e-06!     5.8143e+05!     1.1557e-09!     4.5257e-10!     1.6440e-11!     7.0760e-11!     1.0000e-01!     7.3000e-05!    -2.1750e+01!     2.0000e+10!
     2.9601e+02!     4.9700e+00!     1.1783e+02!     1.1337e+02!     2.1077e+00!     1.0130e+03!     5.9073e-09!     5.0719e-11!     5.0719e-11!     1.3456e-07!     1.0000e+00!     1.2954e-06!     2.1690e+05!     8.3973e-10!     4.7086e-10!     1.7070e-11!     4.7360e-11!     1.0000e-01!     7.3000e-05!    -1.9790e+01!     2.0000e+10!
     2.9611e+02!     4.9700e+00!     1.1783e+02!     1.1338e+02!     2.1553e+00!     1.0130e+03!     4.9585e-09!     3.1132e-11!     3.1132e-11!     1.2238e-07!     1.0000e+00!     8.9854e-07!     6.0300e+05!     8.3973e-10!     4.7086e-10!     1.7070e-11!     4.7360e-11!     1.0000e-01!     7.3000e-05!    -2.1722e+01!     2.0000e+10!
     2.9767e+02!     4.9700e+00!     1.1783e+02!     1.1408e+02!     2.1967e+00!     1.0130e+03!     7.9862e-09!     7.7747e-11!     7.7747e-11!     1.3076e-07!     1.0000e+00!     2.7898e-05!     2.9663e+06!     1.8420e-09!     4.7596e-10!     2.9290e-11!     1.2097e-10!     1.0000e-01!     7.3000e-05!    -2.5558e+01!     2.0000e+10!
     2.9835e+02!     4.9700e+00!     1.1783e+02!     1.1408e+02!     1.9120e+00!     1.0130e+03!     8.8340e-09!     9.9711e-11!     9.9711e-11!     1.3271e-07!     1.0000e+00!     2.8307e-05!     4.5815e+06!     1.8420e-09!     4.7596e-10!     2.9290e-11!     1.2097e-10!     1.0000e-01!     7.3000e-05!    -2.5746e+01!     2.0000e+10!
     2.9917e+02!     4.9700e+00!     1.1783e+02!     1.1411e+02!     1.9827e+00!     1.0130e+03!     8.4584e-09!     1.0925e-10!     1.0925e-10!     1.3968e-07!     1.0000e+00!     3.1884e-05!     2.7678e+06!     2.2939e-09!     4.8666e-10!     2.9270e-11!     1.2135e-10!     1.0000e-01!     7.3000e-05!    -3.2456e+01!     2.0000e+10!
