-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!          O3COL!           JO1D!           JNO2!           HCHO!            XOH!           XHO2!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H2!           C3H6!           C2H4!            CH4!
     2.4503e+02!     5.5300e+01!    -7.7730e+01!     5.8562e+01!     4.2586e-04!     9.5300e+02!     2.1740e-08!     0.0000e+00!     2.2400e-11!     1.7069e-07!     1.0000e+00!     4.4800e+02!     8.2829e-07!     3.9914e-03!    -9.0183e-12!    -1.7353e-01!     5.2431e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4542e+02!     5.5300e+01!    -7.7730e+01!     5.8569e+01!     4.4484e-04!     9.5300e+02!     2.2097e-08!     0.0000e+00!     1.5900e-11!     1.7181e-07!     1.0000e+00!     4.4800e+02!     1.0115e-06!     4.5237e-03!    -9.0183e-12!    -6.7255e-01!     5.0641e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4588e+02!     5.5300e+01!    -7.7730e+01!     5.8576e+01!     4.5811e-04!     9.5300e+02!     2.2306e-08!     3.9000e-12!     1.5100e-11!     1.6999e-07!     1.0000e+00!     4.4800e+02!     1.1989e-06!     5.4290e-03!    -5.6063e-12!    -9.8808e-01!     6.0217e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4644e+02!     5.5300e+01!    -7.7730e+01!     5.8583e+01!     4.7432e-04!     9.5300e+02!     2.2944e-08!     4.2000e-12!     1.9000e-11!     1.6966e-07!     1.0000e+00!     4.4800e+02!     1.5170e-06!     6.3270e-03!     1.8057e-11!    -4.4390e-02!     6.5576e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4677e+02!     5.5300e+01!    -7.7730e+01!     5.8590e+01!     4.8801e-04!     9.5300e+02!     2.4255e-08!     9.0000e-12!     1.9500e-11!     1.7531e-07!     1.0000e+00!     4.4800e+02!     1.7964e-06!     7.1054e-03!    -4.1936e-11!     1.0178e+00!     4.3028e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4682e+02!     5.5300e+01!    -7.7730e+01!     5.8597e+01!     4.9052e-04!     9.5300e+02!     2.4451e-08!     9.0000e-12!     1.9500e-11!     1.7147e-07!     1.0000e+00!     4.4800e+02!     2.0711e-06!     7.7342e-03!    -4.1936e-11!     1.9415e-01!     3.4359e-01!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4749e+02!     5.5300e+01!    -7.7730e+01!     5.9694e+01!     5.5933e-04!     9.5300e+02!     1.5080e-08!     3.4000e-12!     4.9000e-12!     1.7663e-07!     1.0000e+00!     5.6700e+02!     6.3477e-06!     1.2903e-02!     4.8048e-10!    -3.0503e-01!     1.0364e+00!     3.0693e-09!     1.8493e-09!     2.8814e-10!     4.9635e-10!     8.9446e-10!     1.8672e-10!     2.6780e-10!     1.9200e-06!
     2.4758e+02!     5.5300e+01!    -7.7730e+01!     5.9701e+01!     5.6223e-04!     9.5300e+02!     1.4419e-08!     8.0000e-12!     1.5000e-12!     1.7762e-07!     1.0000e+00!     5.6700e+02!     6.5833e-06!     1.3398e-02!     5.3660e-10!    -6.7678e-02!     9.4017e-01!     3.0693e-09!     1.8493e-09!     2.8814e-10!     4.9635e-10!     8.9446e-10!     1.8672e-10!     2.6780e-10!     1.9200e-06!
     2.4770e+02!     5.5300e+01!    -7.7730e+01!     5.9708e+01!     5.6542e-04!     9.5300e+02!     1.3910e-08!     3.8000e-12!     7.9000e-12!     2.4870e-07!     1.0000e+00!     5.6700e+02!     6.6687e-06!     1.3471e-02!     5.3660e-10!     5.3206e-01!     1.0095e+00!     3.0693e-09!     1.8493e-09!     2.8814e-10!     4.9635e-10!     8.9446e-10!     1.8672e-10!     2.6780e-10!     1.9200e-06!
     2.4788e+02!     5.5300e+01!    -7.7730e+01!     5.9715e+01!     5.7461e-04!     9.5300e+02!     1.3814e-08!     6.5000e-12!     6.0000e-13!     1.7462e-07!     1.0000e+00!     5.6700e+02!     6.6693e-06!     1.3366e-02!     5.8946e-10!     3.7974e-01!     1.0608e+00!     3.0693e-09!     1.8493e-09!     2.8814e-10!     4.9635e-10!     8.9446e-10!     1.8672e-10!     2.6780e-10!     1.9200e-06!
     2.4807e+02!     5.5300e+01!    -7.7730e+01!     5.9722e+01!     5.8567e-04!     9.5300e+02!     1.3210e-08!     7.0000e-12!     1.7000e-12!     1.7428e-07!     1.0000e+00!     5.6700e+02!     6.6642e-06!     1.3268e-02!     5.4077e-10!     2.3771e+00!     9.4629e-01!     3.0693e-09!     1.8493e-09!     2.8814e-10!     4.9635e-10!     8.9446e-10!     1.8672e-10!     2.6780e-10!     1.9200e-06!
